title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,duration,uploadTime
PTUN Jakarta akan Bacakan Putusan Gugatan PDIP ke KPU soal Pencalonan Gibran jadi Cawapres #shorts,uBCHnj6cwbg,492130,3422,0,258,0,PT43S,2024-10-10 02:40:00
Anchor barekaataa 'akabaabiwoce bafaano quthethere sere gabu: 'abeyaata keresetiyaanaate bame`emanaane dereqe tamatu: ya'oromiyaa beletsegenaanaa 'adise 'ababaa: ya'aferikaawe qanede qawese,E_8M-fmCRW8,76561,3191,0,239,0,PT1H23M42S,2024-09-26 01:05:16
Anchor Media &#39;&#39;'enasu la'eraate siyaasebune 'enyaa laqurese 'adaragenaacawe&#39;&#39;,m0N8epl_Yp0,153583,6954,0,418,0,PT17M11S,2024-10-07 04:03:37
Janelle Monae: The Legend &amp; The Moment  #Shorts #MetGala #MetGala2023 #JanelleMonae,mJdNMmyzA2Y,9362924,158552,0,20891,0,PT18S,2023-05-04 16:15:04
Anchor Media &#39;&#39;yabeletsegenaa saraawite nagare tsagure letesaraa mathetaa talaachetaa tamalasace `aayenate nawe&#39;&#39; 'arebanyaa 'aserase maara daamethee,JvkKJl-6Pdk,178118,7009,0,433,0,PT20M53S,2024-10-10 04:00:45
Anchor Media &#39;faanone 'asetanefesane 'enedaraadarawaalane&#39; beletsegenaa: pereezedaanetwa  bapaarelaamaa: yareecaa ba`aalenaa polatikaawi 'enedametaawe: yafi/maa berehaanu julaa hameete,3iiwFNVA7DY,134275,4931,0,321,0,PT1H27M46S,2024-10-07 07:42:36
Anchor media heberataacene - tekurate lamaahebaraawi habetaacene - bagalataawe zalaqa,ecSuGRi4sZg,7593,519,0,21,0,PT33M28S,2024-09-14 01:58:19
Anchor Media yazaareewe yagojaame yawegiyaa zagabaawoce: barekaataa 'akabaabiwoce tayezawaale,ne2d6eFdG40,132013,5626,0,372,0,PT14M44S,2024-10-03 22:11:09
Anchor Media yagonedaru wegiyaa,2eaqiEkoD2g,133738,5753,0,282,0,PT8M8S,2024-09-18 01:18:34
Anchor yafaano delocenaa kefetatocu: yadaane`eele keberate ya'adaamaawe negegere: ya'ereecaa ba`aalenaa ya'adise 'ababaa hezebe saqoqaa: ya'aferikaawe qanede qawesenaa pe/re beruke,-7fWj7uCMEM,143623,4805,0,411,0,PT1H32M18S,2024-09-24 03:27:21
'Spiraling': Anchor reacts to Trump's speech and analysts discuss,nKOz00xqtj8,1643944,20517,0,12231,0,PT32M51S,2024-08-09 01:27:04
Anchor Media yateyopheyaa yasabe`aawi mabetoce komishene riporete basabe`aawi mabete tamwagaacu `aayene,xCb5CGHxLog,37830,1857,0,83,0,PT50M33S,2024-09-27 08:13:20
Anchor Media &#39;&#39;'ayenune kazihe tegele laaye yaminaqale 'amaaraa yalame&#39;&#39; 'arebanyaa 'aserase maara daamethee,kwyrTQLdq0Q,113948,5426,0,512,0,PT26M41S,2024-09-02 13:28:07
Anchor Media yadabube gonedare waqetaawi huneetaa,rwMPSwTNlmo,148011,5776,0,332,0,PT14M10S,2024-10-03 03:49:10
Anchor Media yabeetakeresetiyaanitu fatanaanaa 'adise 'ababaa,F1aYGGD8lLE,75519,4567,0,462,0,PT21M17S,2024-10-13 02:26:20
Anchor Media waqetaawi yafaano yawegiyaa welowoce,6JKj5pGqBXI,141962,5748,0,319,0,PT10M51S,2024-03-06 07:11:55
Anchor Media yataqathaathalawe yafaano tagaadelo: barekaataa 'akabaabiwoce natsaa wathetawaale: yamaqaleewe fethechaa qathelwale: gaamebeelaa baalabeete 'alebaa kelele: 'atenasaame waye 'adise,gPW1r7VJGQU,135892,4684,0,279,0,PT1H21M58S,2024-08-17 00:33:51
Anchor media yaminiseteroce shegeshege: yajee/le taadasa warada magelachaa: layunivareseti tamaariwoce megebe maaqerabe liqome yehone? yabeetakeresetiyaanitu fatanaa,4qoKH5tk1Yk,59636,2098,0,224,0,PT1H4M44S,2024-05-20 21:30:40
Anchor media sameene 'ameerikaa kamiganyu manakosaate yatalaalafa waqetaawi theri,fiMvFAR_bUQ,35278,2236,0,186,0,PT14M9S,2024-05-20 17:10:01
Smriti Irani's Multilinguistic Welcome of Indian Students Returning From Ukraine,6h7fFULHlE4,9170753,252533,0,2862,0,PT29S,2022-03-02 13:35:00
TATA Group Get New Chairman Noel Tata | Ratan Tata | ttaattaa kott vaarsuddu itnee | ZEE Telugu News,VVxHHgnAFHs,218532,3521,0,6,0,PT30S,2024-10-11 08:53:52
Anchor media ya'amaaraa faano tagaadelowoce kasamonu,V31iJU36ZcM,142394,6142,0,394,0,PT40M5S,2024-08-23 18:06:01
Anchor &#39;&#39;beetakeresetiyaanitu `elata `aarebe laaye naate. lamaayeqarawe samaa`etenate 'enezagaaje. yamacharashaawe dawele lisamaa taqaarebwale. merechaa yalaneme&#39;&#39; qomose 'abaa geedeewone,pAp2qKuKl8U,67985,2322,0,222,0,PT1H30M54S,2024-05-20 04:07:31
Anchor Media karaase balaaye yaheyewate zamane taagaaye - 'arebanyaa daraja balaaye,F7nmVRblOEQ,71305,4789,0,470,0,PT11M51S,2024-09-27 14:56:54
Anchor Media yateyopheyaa 'aweropelaanenaa yaraashiyaa taathaaqiwoce: 'aweropaa lateyopheyaaweyaane vizaa kalakalace: yafaano theqaate batatalayaayu 'akabaabiwoce: yabeletsegenaa gemegamaa,BzQwbXuk6Ik,66629,2417,0,151,0,PT1H27M6S,2024-04-29 17:12:17
Anchor Media &#39;&#39;bashenefateme yehune bapolatikaa kisaaraa ya'abeye 'ahemade saraawite kakelelu biwathaa lamaanenyaaweme qathaaye hidate tazagaajetanaale&#39;&#39; faano 'aserase maara daamethee,-59XLsFCmFQ,159859,5522,0,216,0,PT18M5S,2024-08-22 05:59:03
Anchor Media yapolise makonenu yenaagaraalu: ya'adise 'ababaawe 'opereeshene: ya'abeye yatsathetaa mawaaqere: makalaakayaa saraawitu 'ewene yateyopheyaa wayese ya'abeye 'ahemade?,iv83OuVArCQ,106981,4275,0,238,0,PT1H3M16S,2024-04-24 21:15:22
Anchor Media ka'amaaraa faano gonedare `eze yatasatha 'asecakwaaye magelachaa,2My4YUw8810,123748,5595,0,363,0,PT11M47S,2024-09-03 21:07:56
Ethiopia arrests over 170 anti-peace elements in Oromia region,2pHXrj3RDWI,716300,2078,0,88,0,PT1M11S,2018-08-21 12:40:23
Anchor Media &#39;&#39;la'abeye 'ahemade saraawite shawaa laaye yaalawe faano yebaqaawaale&#39;&#39; shaalaqaa 'ababa mulaate,jhSVgJJyU2A,145343,6273,0,474,0,PT13M56S,2024-10-02 22:58:36
Anchor Media qulefe 'akabaabiwoce bafaano tayezawaale: yape/re beruke 'anagaagaari hasaabe: ya'adise 'ababaa beetakeresetiyaanaate 'adagaa laaye naacawe: 'afasaa ba'adise 'ababaa,N3GmvbYLPPM,123573,4481,0,319,0,PT1H49M47S,2024-09-22 04:02:51
Anchor Media yagonedare waqetaawi huneetaa,fjGL6uyr-6E,93572,3855,0,230,0,PT9M39S,2024-09-19 05:32:53
Anchor Media ka'ato ledatu gaare qoyetaa,Tr6ueMmZiZU,31678,911,0,64,0,PT38S,2024-01-14 14:06:09
Anchor Media yafaanowoce delenaa ya'abeye 'ahemade saraawite maferakerake,2OnnWEIQqNI,169874,7521,0,551,0,PT28M54S,2024-09-09 17:00:32
Anchor &#39;&#39; manakosaate saayeqaru tadaferawaale. 53 yaderone theqaatoce tafatsemawaale. ka2500 balaaye sawoce tagadelawaale. 4miliyane hetsaanaate temeherete beete yalume&#39;&#39;,i9mEhfsm7Hk,19820,1064,0,57,0,PT38M31S,2024-09-18 18:56:56
yaaNkr kaavyshriipai daaddi LIVE : Attack On Anchor Kavya Sri | EX MP Margani Bharat | RTV,9on2rFirgnI,66969,141,0,4,0,PT8H19M58S,2024-10-14 10:56:01
Anchor Media &#39;&#39;kabaanedaa leelaa qaale binore noro la'abeye 'ahemade yegabaawe nabare&#39;&#39; /re gedaye zaraatsiyone. selategeraaye waqetaawi huneetaa yatadaraga weyeyete,IY_-BXirBxA,104405,3765,0,227,0,PT1H1M45S,2024-09-16 00:35:55
Anchor Media yajigaawenaa yanonowe gedeyaa: yabaaneke saraatanyoce tarashanu: ya'olaa maasethaneqaqiyaa: ya'abeye 'ahemade saraawite 'eyatamataa nawe: saraatanyaawe 'eyataraaba nawe,AXOluseO0x0,69011,2662,0,173,0,PT1H15M46S,2024-06-17 17:37:36
Anchor Media &#39;&#39;gonedare baqerebu mulu bamulu natsaa tewathaalace&#39;&#39; komaanedare 'aragaa 'alabaacawe ya'amaaraa faano gonedare `eze yabalaaye thabaaqi me/sabesaabi,nMS-Fs8wD-0,140797,5888,0,420,0,PT12M42S,2024-09-08 08:28:20
Anchor Media &#39;&#39;ya'abeye 'ahemade yakonomi polisi gabayaa mare saayehone thamanejaa mare nawe&#39;&#39; pe/re tashoma 'ababa,O3JC6Lf9_jw,62566,2370,0,166,0,PT1H22M31S,2024-09-07 13:35:35
Lydia Ko making it look easy  #LPGALookback,VPkkVQP5ECc,49907785,487293,0,4984,0,PT26S,2022-12-09 21:22:27
yaaNkr kaavy shrii pai vaisiipii neet daaddi | Attack On Anchor Kavya Sri | RTV,UmriZzDEEMA,25215,349,0,2,0,PT52S,2024-10-14 05:15:01
Anchor Media heberataacene - badehera 'abeye gizee deemokeraasine yamaawaalade tegelaacene - bagalataawe zalaqa,aAy_TmExZs8,8702,445,0,17,0,PT52M33S,2024-10-12 01:26:52
Anchor Media yabaaheredaare yabomebe theqaatenaa waqetaawi huneetaa,j6LS-iDfSBQ,72733,3901,0,127,0,PT12M33S,2024-08-09 14:04:49
bhgvNtuni saakssigaa vaalllNtaa srvnaashnN avutaaru.!! | #chalakichanti #jabardasth #anchorshiva #idream,H92s6t2iOAk,552,145,0,3,0,PT1M,2024-10-15 08:00:40
Anchor Media bathelaacaa 'eyafarasace yaalace katamaa - 'adise 'ababaa,BFiviIHNoP4,118077,3712,0,521,0,PT20M31S,2024-03-23 05:49:52
Anchor Media 'enee yamelawe : kefele 21 - ba2017 beletsegenaane 'eneshanyawe,iR7gGgAQWCo,128357,7604,0,752,0,PT28M31S,2024-09-13 06:25:11
Anchor Media &#39;&#39;bazihene waqete ka'abeye 'ahemade yabalatha yateyopheyaa beheeraawi segaate yalame. thorenate katakaaheeda 'abeye 'ahemade yaakatemelataale&#39;&#39; do/re yonaase beru,7cMWM3_-v_w,90333,3122,0,334,0,PT1H37M19S,2024-09-06 05:25:05
Anchor Media &#39;&#39;wada hagare beete tamaleshee salaamaawi tegelune 'eqathelaalahu&#39;&#39; 'ato ledatu 'ayaaleewe,lMBarVGZPhw,170109,5902,0,1218,0,PT2H16M1S,2024-01-14 18:00:06
Anchor Media ya'amaaraa faanowoce 'eyaasemazagabu yaalute dele: ya'abeye 'ahemade saraawite yazarafawe 30miliyone bere bafaanowoce tamaleswale: yategeraaye qawese,yzow6V_794I,82860,3353,0,217,0,PT1H12M35S,2024-10-09 14:28:20
News Anchors ko svaal puuchte vkt Kapil ho ge Nervous | The Kapil Sharma Show S2 | Best Moments,gnJS23i1LxA,2185341,24806,0,1096,0,PT12M32S,2023-02-26 08:30:09
Anchor Media gonedare bazihe samone,6lTb_cmw34c,86930,3991,0,219,0,PT16M3S,2024-06-09 00:05:54
